0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
 ,Overall, ,Conference,"Name, Pos, Yr",GP,G,A,PTS,PIM,GW,PP, ,GP,G,A,Pts.,PIM,GW,PP
"
Will Smith, F, Fr		",41,25,46,71,14,4,6, ,24,13,30,43,4,3,3,,,,
"
Cutter Gauthier, F, So		",41,38,27,65,18,10,13, ,24,25,16,41,12,5,7,,,,
"
Ryan Leonard, F, Fr		",41,31,29,60,38,6,13, ,24,19,16,35,26,4,7,,,,
"
Gabe Perreault, F, Fr		",36,19,41,60,29,5,9, ,20,10,26,36,8,3,6,,,,
"
Oskar Jellvik, F, So		",41,13,29,42,16,1,1, ,24,5,18,23,12,1,1,,,,
"
Eamon Powell, D, Sr		",40,5,33,38,8,1,2, ,23,4,17,21,4,1,2,,,,
"
Andre Gasseau, F, So		",40,12,17,29,27,1,2, ,24,7,9,16,14,0,1,,,,
"
Jack Malone, F, Gr		",41,12,13,25,12,3,3, ,24,6,7,13,4,1,2,,,,
"
Lukas Gustafsson, D, So		",41,3,13,16,22,0,0, ,24,3,7,10,14,0,0,,,,
"
Aidan Hreschuk, D, Jr		",41,2,13,15,32,0,0, ,24,2,9,11,24,0,0,,,,
"
Jacob Bengtsson, D, Sr		",40,3,11,14,18,1,0, ,23,1,8,9,10,0,0,,,,
"
Jamie Armstrong, F, Gr		",32,5,7,12,17,1,0, ,20,5,5,10,8,1,0,,,,
"
Aram Minnetian, D, Fr		",40,3,6,9,29,1,0, ,23,1,4,5,23,1,0,,,,
"
Colby Ambrosio, F, Sr		",40,2,6,8,10,0,0, ,23,1,1,2,10,0,0,,,,
"
Drew Fortescue, D, Fr		",40,4,4,8,36,0,0, ,24,1,3,4,18,0,0,,,,
"
Charlie Leddy, D, So		",39,0,8,8,12,0,0, ,23,0,4,4,10,0,0,,,,
"
Mike Posma, F, Jr		",41,2,6,8,23,0,0, ,24,1,3,4,8,0,0,,,,
"
Will Vote, F, Fr		",20,1,7,8,4,0,0, ,12,1,4,5,4,0,0,,,,
"
Connor Joyce, F, Jr		",35,2,4,6,6,0,0, ,19,0,0,0,0,0,0,,,,
"
Jacob Fowler, G, Fr		",39,0,2,2,0,0,0, ,23,0,2,2,0,0,0,,,,
"
Gentry Shamburger, F, Sr		",30,1,1,2,8,0,0, ,17,0,0,0,6,0,0,,,,
"
Will Traeger, F, So		",8,0,0,0,2,0,0, ,7,0,0,0,2,0,0,,,,
"
Nolan Joyce, D, Fr		",4,0,0,0,0,0,0, ,3,0,0,0,0,0,0,,,,
"
Jan Korec, G, Fr		",4,0,0,0,0,0,0, ,3,0,0,0,0,0,0,,,,
