0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
 ,Overall, ,Conference,"Name, Pos, Yr",GP,G,A,PTS,PIM,GW,PP, ,GP,G,A,Pts.,PIM,GW,PP
"
Macklin Celebrini, F, Fr		",38,32,32,64,18,4,12, ,23,23,21,44,14,3,9,,,,
"
Lane Hutson, D, So		",38,15,34,49,24,5,7, ,24,6,28,34,14,2,4,,,,
"
Jeremy Wilmer, F, So		",38,6,30,36,19,1,0, ,23,5,21,26,15,1,0,,,,
"
Quinn Hutson, F, So		",40,18,18,36,35,2,6, ,24,15,10,25,29,2,6,,,,
"
Ryan Greene, F, So		",40,12,24,36,6,2,5, ,24,4,18,22,2,0,3,,,,
"
Luke Tuch, F, Sr		",39,10,20,30,10,2,3, ,23,5,13,18,8,1,1,,,,
"
Shane Lachance, F, Fr		",40,13,14,27,12,2,4, ,24,8,7,15,10,2,4,,,,
"
Tom Willander, D, Fr		",38,4,21,25,12,1,2, ,24,4,15,19,8,1,2,,,,
"
Devin Kaplan, F, So		",37,5,18,23,34,2,1, ,21,3,7,10,24,2,1,,,,
"
Dylan Peterson, F, Sr		",35,8,12,20,73,3,0, ,19,3,7,10,42,1,0,,,,
"
Jack Hughes, F, Jr		",38,7,12,19,12,0,1, ,23,6,8,14,4,0,0,,,,
"
Sam Stevens, F, Gr		",40,10,7,17,34,1,0, ,24,7,3,10,22,1,0,,,,
"
Nick Zabaneh, F, Sr		",40,8,8,16,36,1,0, ,24,8,5,13,12,1,0,,,,
"
Jack Harvey, F, Fr		",20,7,8,15,4,1,0, ,11,5,5,10,2,1,0,,,,
"
Case McCarthy, D, Gr		",39,4,5,9,10,1,0, ,23,1,5,6,6,0,0,,,,
"
Cade Webber, D, Sr		",38,0,6,6,30,0,0, ,24,0,5,5,26,0,0,,,,
"
Aiden Celebrini, D, Fr		",36,1,5,6,20,0,0, ,22,0,4,4,14,0,0,,,,
"
Ty Gallagher, D, Jr		",37,0,5,5,14,0,0, ,21,0,2,2,12,0,0,,,,
"
Gavin McCarthy, D, Fr		",38,1,4,5,41,0,0, ,22,0,2,2,33,0,0,,,,
"
Doug Grimes, F, Fr		",23,2,1,3,2,0,0, ,15,1,1,2,2,0,0,,,,
"
Mick Frechette, D, Fr		",7,0,2,2,2,0,0, ,2,0,1,1,0,0,0,,,,
"
Max Lacroix, G, Fr		",1,0,0,0,0,0,0, ,1,0,0,0,0,0,0,,,,
"
Henry Graham, G, Gr		",2,0,0,0,0,0,0, ,2,0,0,0,0,0,0,,,,
"
Mathieu Caron, G, Jr		",40,0,0,0,2,0,0, ,24,0,0,0,2,0,0,,,,
"
Thomas Jarman, D, Sr		",1,0,0,0,0,0,0, ,1,0,0,0,0,0,0,,,,
"
Nick Howard, G, Gr		",1,0,0,0,0,0,0, ,1,0,0,0,0,0,0,,,,
"
Tristan Amonte, F, Jr		",8,0,0,0,0,0,0, ,5,0,0,0,0,0,0,,,,
