0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
 ,Overall, ,Conference,"Name, Pos, Yr",GP,G,A,PTS,PIM,GW,PP, ,GP,G,A,Pts.,PIM,GW,PP
"
Bradly Nadeau, F, Fr		",37,19,27,46,12,4,3, ,24,12,19,31,8,3,1,,,,
"
Josh Nadeau, F, Fr		",37,18,27,45,12,5,8, ,24,11,19,30,8,3,6,,,,
"
Lynden Breen, F, Sr		",37,9,21,30,20,1,3, ,24,6,12,18,12,1,1,,,,
"
Harrison Scott, F, Sr		",37,15,12,27,18,4,4, ,24,9,10,19,16,1,4,,,,
"
Donavan Villeneuve-Houle, F, Sr		",36,9,15,24,33,0,2, ,23,6,8,14,27,0,2,,,,
"
Brandon Chabrier, D, So		",37,6,16,22,22,2,2, ,24,4,10,14,14,1,2,,,,
"
Thomas Freel, F, So		",37,6,16,22,8,1,2, ,24,4,10,14,6,1,2,,,,
"
Ben Poisson, F, Gr		",37,6,9,15,21,1,3, ,24,4,6,10,19,1,2,,,,
"
Brandon Holt, D, So		",33,4,11,15,18,0,0, ,22,4,9,13,12,0,0,,,,
"
Sully Scholle, F, Fr		",33,7,4,11,10,2,1, ,22,4,1,5,6,2,1,,,,
"
Nolan Renwick, F, Jr		",25,2,9,11,14,0,0, ,16,1,5,6,4,0,0,,,,
"
David Breazeale, D, Jr		",37,2,7,9,10,0,0, ,24,1,2,3,10,0,0,,,,
"
Cole Hanson, F, Jr		",34,4,4,8,4,0,0, ,22,3,3,6,2,0,0,,,,
"
Luke Antonacci, D, So		",37,0,5,5,10,0,0, ,24,0,4,4,10,0,0,,,,
"
Grayson Arnott, D, So		",25,2,3,5,6,1,0, ,18,1,2,3,6,0,0,,,,
"
Félix Trudeau, F, So		",24,3,2,5,6,0,0, ,14,1,0,1,2,0,0,,,,
"
Reid Pabich, F, So		",21,1,4,5,4,1,0, ,12,0,1,1,0,0,0,,,,
"
Anthony Calafiore, F, Fr		",19,2,2,4,0,1,0, ,15,2,2,4,0,1,0,,,,
"
Nicholas Niemo, F, Jr		",17,2,2,4,4,0,0, ,10,2,2,4,0,0,0,,,,
"
Ryan Hopkins, D, Fr		",24,1,2,3,8,0,0, ,15,0,1,1,2,0,0,,,,
"
Parker Lindauer, F, So		",16,1,1,2,23,0,0, ,10,1,1,2,17,0,0,,,,
"
Liam Lesakowski, D, Fr		",34,0,2,2,36,0,0, ,24,0,2,2,26,0,0,,,,
"
Albin Boija, G, Fr		",18,0,1,1,0,0,0, ,14,0,1,1,0,0,0,,,,
"
John Dalton, D, Fr		",8,0,0,0,0,0,0, ,6,0,0,0,0,0,0,,,,
"
Victor Ostman, G, Sr		",21,0,0,0,0,0,0, ,11,0,0,0,0,0,0,,,,
"
Bodie Nobes, D, Fr		",19,0,0,0,17,0,0, ,9,0,0,0,17,0,0,,,,
