0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
 ,Overall, ,Conference,"Name, Pos, Yr",GP,G,A,PTS,PIM,GW,PP, ,GP,G,A,Pts.,PIM,GW,PP
"
Scott Morrow, D, Jr		",37,6,24,30,25,0,3, ,24,2,14,16,19,0,0,,,,
"
Jack Musa, F, Fr		",37,12,17,29,6,0,6, ,24,8,7,15,4,0,2,,,,
"
Ryan Ufko, D, Jr		",37,10,16,26,14,6,6, ,24,6,6,12,8,4,4,,,,
"
Aydar Suniev, F, Fr		",36,12,13,25,25,2,2, ,24,7,7,14,21,1,1,,,,
"
Lucas Mercuri, F, Jr		",37,9,16,25,29,3,3, ,24,5,10,15,17,3,1,,,,
"
Ryan Lautenbach, F, Jr		",37,10,14,24,29,1,0, ,24,5,7,12,23,0,0,,,,
"
Kenny Connors, F, So		",37,7,15,22,14,3,0, ,24,3,11,14,10,1,0,,,,
"
Cole O'Hara, F, So		",37,7,11,18,18,0,3, ,24,5,7,12,12,0,2,,,,
"
Dans Locmelis, F, Fr		",30,7,7,14,4,1,1, ,23,5,7,12,4,1,1,,,,
"
Samuli Niinisaari, D, Sr		",27,3,9,12,4,1,0, ,20,2,7,9,4,1,0,,,,
"
Michael Cameron, F, So		",35,6,4,10,0,1,0, ,23,2,2,4,0,0,0,,,,
"
Taylor Makar, F, Jr		",36,4,5,9,22,1,0, ,23,1,1,2,14,0,0,,,,
"
Owen Murray, D, So		",31,2,7,9,4,0,0, ,20,1,4,5,2,0,0,,,,
"
Aaron Bohlinger, D, Sr		",34,3,5,8,4,0,0, ,22,2,1,3,2,0,0,,,,
"
Lucas Vanroboys, F, Gr		",29,3,5,8,22,0,0, ,16,0,3,3,10,0,0,,,,
"
Cam O'Neill, F, Fr		",28,3,4,7,23,0,0, ,18,2,2,4,6,0,0,,,,
"
Linden Alger, D, Sr		",35,2,2,4,4,0,0, ,22,0,2,2,0,0,0,,,,
"
Liam Gorman, F, Gr		",28,1,3,4,17,0,0, ,17,0,1,1,8,0,0,,,,
"
Sebastian Törnqvist, D, Fr		",14,0,3,3,8,0,0, ,8,0,0,0,4,0,0,,,,
"
Nick VanTassell, F, Fr		",24,1,1,2,19,1,0, ,18,1,0,1,2,1,0,,,,
"
Christian Sanda, F, Gr		",15,0,2,2,4,0,0, ,7,0,2,2,2,0,0,,,,
"
Elliott McDermott, D, Sr		",35,0,2,2,14,0,0, ,22,0,1,1,2,0,0,,,,
"
Bo Cosman, F, Fr		",3,0,1,1,0,0,0, ,1,0,0,0,0,0,0,,,,
"
Jackson Irving, G, Fr		",1,0,0,0,0,0,0, ,0,0,0,0,0,0,0,,,,
"
Michael Hrabal, G, Fr		",30,0,0,0,0,0,0, ,22,0,0,0,0,0,0,,,,
"
Kennedy O'Connor, D, So		",1,0,0,0,0,0,0, ,1,0,0,0,0,0,0,,,,
"
Cole Brady, G, Sr		",9,0,0,0,2,0,0, ,3,0,0,0,0,0,0,,,,
