0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
 ,Overall, ,Conference,"Name, Pos, Yr",GP,G,A,PTS,PIM,GW,PP, ,GP,G,A,Pts.,PIM,GW,PP
"
Matt Copponi, F, Jr		",30,7,25,32,48,0,2, ,20,4,16,20,25,0,1,,,,
"
Zach Bookman, D, So		",33,4,24,28,30,0,1, ,22,4,14,18,20,0,1,,,,
"
Alex Jefferies, F, Sr		",22,13,10,23,19,4,3, ,15,10,7,17,17,1,2,,,,
"
Ty Daneault, F, Fr		",34,13,8,21,33,0,4, ,23,6,6,12,27,0,3,,,,
"
Mark Hillier, F, Jr		",35,7,12,19,2,1,1, ,24,5,4,9,2,1,1,,,,
"
Ben Brar, F, Gr		",35,5,14,19,20,0,3, ,24,3,8,11,16,0,2,,,,
"
Filip Forsmark, F, Gr		",35,5,13,18,25,1,3, ,24,4,9,13,23,1,2,,,,
"
Michael Citara, F, Sr		",31,6,9,15,6,0,1, ,22,5,5,10,4,0,0,,,,
"
Mac Welsher, F, Gr		",30,4,9,13,18,3,0, ,19,2,3,5,10,1,0,,,,
"
Frank Djurasevic, D, Fr		",35,4,6,10,26,1,0, ,24,3,4,7,22,1,0,,,,
"
Liam Dennison, D, Gr		",35,2,7,9,10,1,0, ,24,2,5,7,2,1,0,,,,
"
Ethan Bono, F, Fr		",29,6,3,9,8,0,0, ,20,5,2,7,6,0,0,,,,
"
Devlin O'Brien, F, Jr		",30,3,5,8,24,1,0, ,21,1,3,4,12,0,0,,,,
"
Christian Felton, D, Sr		",26,3,4,7,4,0,0, ,17,0,1,1,2,0,0,,,,
"
Trevor Griebel, D, So		",19,2,4,6,6,1,0, ,13,0,1,1,6,0,0,,,,
"
Mark Gallant, F, Gr		",33,2,3,5,23,0,0, ,23,1,3,4,19,0,0,,,,
"
Luke Weilandt, F, Fr		",23,3,2,5,6,0,0, ,17,2,2,4,2,0,0,,,,
"
Adam Arvedson, D, Jr		",21,1,3,4,2,0,0, ,13,1,2,3,2,0,0,,,,
"
Chase Stevenson, F, Gr		",15,4,0,4,10,0,1, ,10,1,0,1,8,0,0,,,,
"
Max Wattvil, D, Fr		",24,2,1,3,14,0,0, ,19,1,1,2,12,0,0,,,,
"
Ivan Zivlak, D, Jr		",24,1,2,3,4,0,0, ,17,1,2,3,2,0,0,,,,
"
David Sacco, F, Fr		",18,1,1,2,23,0,0, ,11,1,1,2,21,0,0,,,,
"
Brady Hunter, F, Fr		",11,0,2,2,2,0,0, ,9,0,2,2,2,0,0,,,,
"
Nikita Borodayenko, F, So		",12,0,1,1,4,0,0, ,8,0,0,0,4,0,0,,,,
"
Tyler Young, F, So		",12,0,1,1,25,0,0, ,8,0,0,0,6,0,0,,,,
"
Hugo Ollas, G, Jr		",22,0,0,0,2,0,0, ,16,0,0,0,2,0,0,,,,
"
Steven Bacovsky, G, So		",1,0,0,0,0,0,0, ,0,0,0,0,0,0,0,,,,
"
Zachary Borgiel, G, Sr		",16,0,0,0,2,0,0, ,10,0,0,0,2,0,0,,,,
