0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
 ,Overall, ,Conference,"Name, Pos, Yr",GP,G,A,PTS,PIM,GW,PP, ,GP,G,A,Pts.,PIM,GW,PP
"
Ryan Conmy, F, Fr		",34,14,17,31,14,3,5, ,22,6,11,17,10,3,3,,,,
"
Cy LeClerc, F, So		",36,10,18,28,17,3,3, ,24,5,13,18,10,1,2,,,,
"
Colton Huard, D, Jr		",36,5,17,22,16,2,3, ,24,3,11,14,10,1,1,,,,
"
Morgan Winters, F, So		",33,10,12,22,19,2,2, ,22,6,10,16,4,1,1,,,,
"
Liam Devlin, F, Jr		",28,13,7,20,37,2,3, ,19,11,4,15,25,2,2,,,,
"
Robert Cronin, F, Jr		",33,4,12,16,14,0,0, ,22,4,8,12,12,0,0,,,,
"
Luke Reid, D, Sr		",36,1,15,16,18,0,0, ,24,1,6,7,8,0,0,,,,
"
Marty Lavins, F, Fr		",35,5,9,14,28,0,0, ,23,3,7,10,26,0,0,,,,
"
Harrison Blaisdell, F, Gr		",32,11,3,14,6,2,1, ,23,8,2,10,4,1,1,,,,
"
Alex Gagne, D, Jr		",36,1,13,14,24,0,0, ,24,1,9,10,12,0,0,,,,
"
Stiven Sardaryan, F, So		",32,7,7,14,12,2,3, ,20,6,3,9,8,2,3,,,,
"
Kristaps Skrastins, F, So		",35,5,7,12,4,1,0, ,24,4,4,8,2,0,0,,,,
"
Nicholas Cafarelli, F, Sr		",28,6,5,11,41,1,3, ,18,2,3,5,31,1,0,,,,
"
Nick Ring, F, Fr		",34,2,8,10,6,0,1, ,24,0,6,6,6,0,0,,,,
"
Luis Lindner, D, Sr		",36,0,10,10,2,0,0, ,24,0,3,3,2,0,0,,,,
"
J.P. Turner, F, Fr		",24,4,6,10,21,1,0, ,20,3,6,9,19,0,0,,,,
"
Nikolai Jenson, D, Sr		",35,4,5,9,12,0,0, ,23,3,2,5,8,0,0,,,,
"
Brendan Fitzgerald, D, Fr		",28,0,5,5,44,0,0, ,20,0,5,5,40,0,0,,,,
"
Jack Babbage, D, Jr		",15,1,4,5,0,0,0, ,7,1,2,3,0,0,0,,,,
"
Connor Sweeney, F, Jr		",32,0,4,4,8,0,0, ,21,0,3,3,6,0,0,,,,
"
Cam Gendron, F, Sr		",10,1,2,3,2,0,1, ,6,1,1,2,2,0,1,,,,
"
Conor Lovett, F, Jr		",20,1,2,3,0,1,0, ,12,0,2,2,0,0,0,,,,
"
Jason Siedem, F, Fr		",8,1,0,1,0,0,0, ,6,1,0,1,0,0,0,,,,
"
Zach Hahn, D, Fr		",1,0,0,0,0,0,0, ,1,0,0,0,0,0,0,,,,
"
Tyler Muszelik, G, So		",8,0,0,0,0,0,0, ,3,0,0,0,0,0,0,,,,
"
Jeremy Forman, G, Sr		",1,0,0,0,0,0,0, ,1,0,0,0,0,0,0,,,,
"
Jakob Hellsten, G, Jr		",28,0,0,0,0,0,0, ,21,0,0,0,0,0,0,,,,
