0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
 ,Overall, ,Conference,"Name, Pos, Yr",GP,G,A,PTS,PIM,GW,PP, ,GP,G,A,Pts.,PIM,GW,PP
"
Justin Hryckowian, F, Jr		",32,13,30,43,8,2,5, ,21,8,15,23,8,2,4,,,,
"
Alex Campbell, F, Sr		",36,22,20,42,6,2,6, ,24,13,11,24,6,0,2,,,,
"
Jack Williams, F, So		",34,17,19,36,8,2,7, ,22,6,14,20,4,0,4,,,,
"
Dylan Hryckowian, F, Fr		",34,7,27,34,22,2,1, ,22,4,15,19,16,2,1,,,,
"
Cam Lund, F, So		",35,11,19,30,22,1,2, ,24,9,12,21,16,1,2,,,,
"
Vinny Borgesi, D, So		",34,5,23,28,10,0,1, ,22,2,14,16,6,0,0,,,,
"
Gunnarwolfe Fontaine, F, Sr		",36,8,19,27,6,4,2, ,24,5,8,13,4,2,2,,,,
"
Pito Walton, D, Gr		",36,5,12,17,30,1,3, ,24,1,9,10,12,0,0,,,,
"
Jackson Dorrington, D, So		",33,6,6,12,6,1,0, ,22,4,3,7,2,1,0,,,,
"
Matt Choupani, F, Jr		",28,3,9,12,8,0,0, ,17,2,4,6,6,0,0,,,,
"
Matt DeMelis, F, Gr		",23,2,6,8,0,1,0, ,15,0,5,5,0,0,0,,,,
"
Brett Edwards, F, Gr		",31,5,2,7,18,0,0, ,22,5,1,6,6,0,0,,,,
"
Liam Walsh, F, Gr		",36,4,3,7,28,1,1, ,24,1,1,2,14,1,0,,,,
"
Hunter McDonald, D, So		",23,1,5,6,32,0,0, ,15,1,2,3,18,0,0,,,,
"
Matthew Staudacher, D, Gr		",31,2,2,4,8,0,0, ,21,2,2,4,8,0,0,,,,
"
Billy Norcross, F, Fr		",26,0,4,4,4,0,0, ,17,0,4,4,2,0,0,,,,
"
Nolan Hayes, D, Fr		",22,0,3,3,0,0,0, ,16,0,1,1,0,0,0,,,,
"
Michael Fisher, D, Fr		",29,1,1,2,14,0,0, ,18,1,1,2,8,0,0,,,,
"
Braden Doyle, D, Jr		",13,1,0,1,0,0,0, ,10,1,0,1,0,0,0,,,,
"
Andy Moore, F, Fr		",31,0,1,1,12,0,0, ,22,0,1,1,12,0,0,,,,
"
Eli Sebastian, F, Fr		",32,0,1,1,2,0,0, ,20,0,0,0,2,0,0,,,,
"
Michael Outzen, F, Sr		",16,0,0,0,2,0,0, ,10,0,0,0,2,0,0,,,,
"
Cameron Whitehead, G, Fr		",35,0,0,0,2,0,0, ,23,0,0,0,2,0,0,,,,
"
Harrison Chesney, G, So		",1,0,0,0,0,0,0, ,0,0,0,0,0,0,0,,,,
"
Patrick Dawson, D, Gr		",16,0,0,0,2,0,0, ,12,0,0,0,2,0,0,,,,
"
Connor Hopkins, G, Fr		",3,0,0,0,0,0,0, ,3,0,0,0,0,0,0,,,,
"
Anthony Messuri, F, So		",3,0,0,0,0,0,0, ,3,0,0,0,0,0,0,,,,
