0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
 ,Overall, ,Conference,"Name, Pos, Yr",GP,G,A,PTS,PIM,GW,PP, ,GP,G,A,Pts.,PIM,GW,PP
"
Nick Poisson, F, Sr		",35,9,15,24,16,0,3, ,24,6,10,16,8,0,1,,,,
"
Tanner Adams, F, Fr		",35,6,15,21,6,2,2, ,24,4,10,14,6,0,1,,,,
"
Chase Yoder, F, Sr		",35,11,9,20,26,3,5, ,24,8,8,16,14,1,4,,,,
"
Hudson Malinoski, F, Fr		",35,9,9,18,29,2,5, ,24,4,7,11,21,2,2,,,,
"
Guillaume Richard, D, Jr		",35,3,15,18,27,3,1, ,24,3,8,11,23,3,1,,,,
"
Luke Krys, D, Gr		",35,6,11,17,16,1,0, ,24,6,6,12,10,1,0,,,,
"
Bennett Schimek, F, So		",34,8,9,17,6,2,3, ,23,5,7,12,4,1,2,,,,
"
Riley Duran, F, Jr		",35,9,7,16,18,1,3, ,24,5,4,9,12,0,3,,,,
"
Jaroslav Chmelar, F, So		",26,5,10,15,29,0,0, ,18,2,5,7,17,0,0,,,,
"
Graham Gamache, F, Fr		",35,6,8,14,8,1,1, ,24,5,7,12,6,1,1,,,,
"
Austen May, D, So		",30,4,9,13,4,1,2, ,22,3,6,9,4,1,1,,,,
"
Connor Kelley, D, Sr		",34,1,11,12,12,0,0, ,23,1,6,7,8,0,0,,,,
"
Craig Needham, F, Gr		",34,4,7,11,31,0,0, ,24,2,6,8,12,0,0,,,,
"
Jamie Engelbert, F, Gr		",28,7,4,11,16,0,0, ,20,5,3,8,12,0,0,,,,
"
Cal Kiefiuk, F, Gr		",25,2,8,10,24,0,0, ,17,1,5,6,4,0,0,,,,
"
Liam Valente, F, So		",29,4,5,9,10,1,2, ,19,2,4,6,10,0,1,,,,
"
Taige Harding, D, Jr		",34,2,6,8,12,1,0, ,23,1,2,3,8,1,0,,,,
"
Brady Berard, F, So		",27,2,6,8,16,0,0, ,18,1,4,5,12,0,0,,,,
"
Cam McDonald, D, Gr		",29,1,6,7,8,0,0, ,20,1,3,4,6,0,0,,,,
"
Andrew Centrella, D, Fr		",18,0,3,3,0,0,0, ,11,0,2,2,0,0,0,,,,
"
Clint Levens, F, Fr		",24,0,3,3,31,0,0, ,16,0,3,3,29,0,0,,,,
"
Matt Hubbarde, F, Jr		",13,1,0,1,2,0,0, ,10,1,0,1,2,0,0,,,,
"
Marcus Brännman, G, Fr		",2,0,0,0,2,0,0, ,1,0,0,0,0,0,0,,,,
"
Philip Svedebäck, G, So		",35,0,0,0,0,0,0, ,24,0,0,0,0,0,0,,,,
