0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
 ,Overall, ,Conference,"Name, Pos, Yr",GP,G,A,PTS,PIM,GW,PP, ,GP,G,A,Pts.,PIM,GW,PP
"
Matthew Wood, F, So		",35,16,12,28,43,3,3, ,24,8,10,18,35,2,1,,,,
"
Chase Bradley, F, Jr		",31,11,11,22,53,2,1, ,21,6,4,10,47,2,1,,,,
"
Hudson Schandor, F, Sr		",34,5,16,21,31,1,1, ,22,3,6,9,25,0,1,,,,
"
Jake Richard, F, Fr		",36,7,11,18,6,1,2, ,24,1,4,5,6,0,1,,,,
"
Samu Salminen, F, So		",35,7,10,17,35,1,2, ,23,4,8,12,27,0,2,,,,
"
Andrew Lucas, D, Sr		",36,5,11,16,16,3,2, ,24,4,6,10,10,2,1,,,,
"
Joey Muldowney, F, Fr		",35,5,9,14,12,1,0, ,23,4,4,8,8,1,0,,,,
"
Jake Percival, F, So		",36,7,7,14,18,1,0, ,24,5,3,8,14,0,0,,,,
"
Ryan Tattle, F, So		",34,4,8,12,22,0,0, ,23,2,6,8,18,0,0,,,,
"
Tristan Fraser, F, So		",35,7,4,11,33,1,0, ,23,5,4,9,31,1,0,,,,
"
Tom Messineo, D, So		",36,0,11,11,2,0,0, ,24,0,7,7,2,0,0,,,,
"
Tabor Heaslip, F, So		",36,1,7,8,16,1,0, ,24,1,3,4,8,1,0,,,,
"
Nick Capone, F, Sr		",32,4,4,8,46,0,3, ,22,3,4,7,27,0,2,,,,
"
Harrison Rees, D, Gr		",36,3,4,7,10,0,0, ,24,0,1,1,8,0,0,,,,
"
John Spetz, D, Sr		",36,2,4,6,18,0,0, ,24,0,2,2,14,0,0,,,,
"
Jake Flynn, D, Gr		",33,1,5,6,10,0,0, ,21,1,3,4,4,0,0,,,,
"
Ryan Mahshie, F, Gr		",21,2,3,5,4,0,0, ,13,1,2,3,2,0,0,,,,
"
Jake Black, F, So		",24,2,2,4,2,0,0, ,14,0,0,0,0,0,0,,,,
"
Oliver Flynn, F, Fr		",23,1,1,2,6,0,0, ,15,1,1,2,4,0,0,,,,
"
Owen Simpson, D, Fr		",14,0,1,1,4,0,0, ,9,0,1,1,0,0,0,,,,
"
Ethan Haider, G, Gr		",21,0,0,0,0,0,0, ,15,0,0,0,0,0,0,,,,
"
Matt Pasquale, G, Sr		",1,0,0,0,0,0,0, ,1,0,0,0,0,0,0,,,,
"
Jack Pascucci, D, So		",24,0,0,0,6,0,0, ,17,0,0,0,6,0,0,,,,
"
Arseni Sergeyev, G, So		",16,0,0,0,0,0,0, ,10,0,0,0,0,0,0,,,,
"
Huston Karpman, F, So		",1,0,0,0,0,0,0, ,1,0,0,0,0,0,0,,,,
"
Jake Veilleux, F, Jr		",11,0,0,0,0,0,0, ,10,0,0,0,0,0,0,,,,
