0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
 ,Overall, ,Conference,"Name, Pos, Yr",GP,G,A,PTS,PIM,GW,PP, ,GP,G,A,Pts.,PIM,GW,PP
"
Scout Truman, F, So		",35,7,14,21,18,1,0, ,23,4,7,11,10,0,0,,,,
"
Owen Cole, F, Jr		",36,10,7,17,8,2,4, ,24,5,3,8,4,1,2,,,,
"
Jak Vaarwerk, F, Fr		",36,5,10,15,28,0,0, ,24,3,6,9,20,0,0,,,,
"
Nick Rhéaume, F, So		",34,9,4,13,32,2,2, ,22,5,2,7,22,1,1,,,,
"
Matt Crasa, F, Jr		",34,8,5,13,16,1,2, ,22,1,3,4,12,0,0,,,,
"
Isac Jonsson, D, Jr		",36,3,9,12,2,0,2, ,24,2,4,6,2,0,2,,,,
"
Ben Meehan, D, Sr		",25,1,11,12,31,0,1, ,17,1,6,7,21,0,1,,,,
"
Dillan Bentley, F, So		",32,4,8,12,12,0,3, ,20,0,5,5,10,0,0,,,,
"
Filip Fornåå Svensson, F, Gr		",35,5,4,9,6,0,0, ,24,4,2,6,4,0,0,,,,
"
Jake Stella, F, Sr		",29,3,6,9,12,0,0, ,17,0,2,2,4,0,0,,,,
"
Nick Granowicz, F, Fr		",25,4,4,8,10,0,1, ,16,2,4,6,8,0,0,,,,
"
Mitchell Becker, D, So		",30,3,3,6,12,0,0, ,22,2,1,3,10,0,0,,,,
"
Jack Collins, F, So		",20,3,2,5,4,1,0, ,17,3,2,5,4,1,0,,,,
"
Jaiden Moriello, F, Fr		",16,0,5,5,6,0,0, ,11,0,3,3,6,0,0,,,,
"
Brehdan Engum, D, Sr		",34,0,4,4,39,0,0, ,24,0,3,3,29,0,0,,,,
"
Mark Cooper, D, So		",23,1,3,4,6,0,0, ,14,1,2,3,4,0,0,,,,
"
Alex Peterson, F, Gr		",30,1,3,4,16,1,0, ,21,1,2,3,12,1,0,,,,
"
TJ Schweighardt, D, So		",33,1,3,4,8,0,0, ,21,1,2,3,6,0,0,,,,
"
Girts Silkalns, F, Fr		",18,0,2,2,6,0,0, ,13,0,1,1,6,0,0,,,,
"
Stefan Owens, F, Jr		",34,1,1,2,2,0,0, ,23,1,1,2,2,0,0,,,,
"
Sean Kilcullen, D, Fr		",27,0,2,2,25,0,0, ,20,0,0,0,23,0,0,,,,
"
Roc Truman, F, So		",2,1,0,1,0,0,0, ,2,1,0,1,0,0,0,,,,
"
Adam Cardona, D, Fr		",15,1,0,1,8,0,0, ,10,1,0,1,8,0,0,,,,
"
Ben Brunette, D, Fr		",13,1,0,1,4,0,0, ,7,1,0,1,0,0,0,,,,
"
Gabe Blanchard, D, Jr		",12,0,1,1,19,0,0, ,7,0,0,0,2,0,0,,,,
"
Jonathan Horn, F, Fr		",5,0,1,1,0,0,0, ,3,0,0,0,0,0,0,,,,
"
Shawn O'Donnell, F, Fr		",10,0,1,1,6,0,0, ,5,0,1,1,2,0,0,,,,
"
Luke Pavicich, G, Jr		",17,0,1,1,0,0,0, ,10,0,0,0,0,0,0,,,,
"
Edvard Nordlund, G, Jr		",2,0,0,0,0,0,0, ,2,0,0,0,0,0,0,,,,
"
Henry Welsch, G, Sr		",22,0,0,0,0,0,0, ,15,0,0,0,0,0,0,,,,
