0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
 ,Overall, ,Conference,"Name, Pos, Yr",GP,G,A,PTS,PIM,GW,PP, ,GP,G,A,Pts.,PIM,GW,PP
"
Jens Richards, F, So		",32,10,11,21,10,2,0, ,24,9,8,17,8,2,0,,,,
"
Jeremie Bucheler, D, Gr		",33,6,12,18,27,0,1, ,22,2,7,9,25,0,0,,,,
"
Ryan Miotto, F, Gr		",35,9,8,17,18,3,0, ,24,6,6,12,12,1,0,,,,
"
Chris Theodore, F, Gr		",30,8,6,14,0,2,4, ,19,6,3,9,0,1,3,,,,
"
Timofei Spitserov, F, Jr		",35,7,7,14,6,1,2, ,24,5,3,8,2,0,1,,,,
"
Isak Walther, F, Jr		",24,5,7,12,6,0,0, ,20,3,7,10,6,0,0,,,,
"
Will Zapernick, F, Sr		",35,3,9,12,14,0,1, ,24,1,4,5,12,0,0,,,,
"
Massimo Lombardi, F, So		",32,5,7,12,17,2,0, ,23,4,6,10,15,2,0,,,,
"
Ralfs Bergmanis, D, So		",32,2,10,12,60,1,0, ,22,0,5,5,43,0,0,,,,
"
Andrei Buyalsky, F, Jr		",25,3,8,11,8,0,1, ,16,1,3,4,4,0,1,,,,
"
Zach Dubinsky, F, Sr		",30,2,9,11,20,0,1, ,19,2,5,7,10,0,1,,,,
"
Simon Jellus, F, Jr		",30,6,4,10,2,1,2, ,19,3,2,5,2,0,1,,,,
"
Thomas Sinclair, F, So		",32,5,4,9,8,0,0, ,21,2,2,4,6,0,0,,,,
"
Joel Maatta, F, Jr		",26,4,5,9,35,0,1, ,21,4,5,9,33,0,1,,,,
"
Nick Ahern, F, Fr		",14,1,5,6,10,0,1, ,8,1,1,2,8,0,1,,,,
"
Philip Törnqvist, D, So		",29,2,4,6,12,1,0, ,18,1,3,4,6,1,0,,,,
"
Jack Malinski, D, Fr		",26,2,4,6,16,0,0, ,19,0,3,3,14,0,0,,,,
"
Eli Barnett, D, Fr		",24,0,5,5,16,0,0, ,16,0,3,3,14,0,0,,,,
"
Mateo Dixon, F, Fr		",18,2,2,4,2,0,0, ,13,0,0,0,2,0,0,,,,
"
Luca Münzenberger, D, Jr		",32,1,2,3,51,0,0, ,23,0,1,1,14,0,0,,,,
"
Dawson Good, F, So		",9,1,2,3,2,0,0, ,5,0,0,0,2,0,0,,,,
"
Xavier Henry, D, So		",22,1,1,2,22,0,0, ,15,1,1,2,18,0,0,,,,
"
Gabe Carriere, G, Sr		",34,0,2,2,0,0,0, ,23,0,1,1,0,0,0,,,,
"
Daniel Sambuco, F, Fr		",13,1,0,1,12,0,0, ,10,0,0,0,4,0,0,,,,
"
Duncan Ramsay, D, Fr		",26,0,1,1,6,0,0, ,20,0,0,0,2,0,0,,,,
"
Mario Gasparini, D, Fr		",11,1,0,1,4,0,0, ,7,1,0,1,4,0,0,,,,
"
Lucas Jones, D, So		",6,0,0,0,17,0,0, ,2,0,0,0,0,0,0,,,,
"
Axel Mangbo, G, Fr		",3,0,0,0,0,0,0, ,3,0,0,0,0,0,0,,,,
